"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn39918482","Subject43.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","339497","3457238","1665761432528","3457238","1665761432528","syn39918098","https://www.synapse.org/#!Synapse:syn39918482.1","f78b7c4dd83a34a57e7d1254ac91f888"
"syn39918461","Subject41.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","415634","3457238","1665761428582","3457238","1665761428582","syn39918098","https://www.synapse.org/#!Synapse:syn39918461.1","b38667637eb8e5a7be391ca909980859"
"syn39918569","Subject47.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","427986","3457238","1665761448236","3457238","1665761448236","syn39918098","https://www.synapse.org/#!Synapse:syn39918569.1","d2a782c2e64afc450b06fc3fc2fdb4fa"
"syn39918454","Subject40.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","450347","3457238","1665761427609","3457238","1665761427609","syn39918098","https://www.synapse.org/#!Synapse:syn39918454.1","f385420ef7cd62e7430ad2e641dc263b"
"syn39918506","Subject45.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","503398","3457238","1665761436838","3457238","1665761436838","syn39918098","https://www.synapse.org/#!Synapse:syn39918506.1","85b17bc1a6bb6a827d3871630708d9f1"
"syn39918398","Subject35.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","530561","3457238","1665761414166","3457238","1665761414166","syn39918098","https://www.synapse.org/#!Synapse:syn39918398.1","c185d5fdb7b2c23d22bdf98f9293df99"
"syn39918394","Subject34.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","554316","3457238","1665761413020","3457238","1665761413020","syn39918098","https://www.synapse.org/#!Synapse:syn39918394.1","688e2e087d11781c808aaabe63124e24"
"syn39918384","Subject32.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","579127","3457238","1665761410467","3457238","1665761410467","syn39918098","https://www.synapse.org/#!Synapse:syn39918384.1","ca6ea73107be6938caa20a9ca35fafab"
"syn39918420","Subject37.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","584301","3457238","1665761420367","3457238","1665761420367","syn39918098","https://www.synapse.org/#!Synapse:syn39918420.1","7e905339be2c3d3b0f4139f13de1e056"
"syn39918476","Subject42.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","650566","3457238","1665761431487","3457238","1665761431487","syn39918098","https://www.synapse.org/#!Synapse:syn39918476.1","5bd4aacd3584c4737ee2bbbc7827ec97"
"syn51220215","Prioleau_DiaTrend_March 2023.pdf","1","application/pdf","691127","3457238","1679495413096","3457238","1679495413096","syn39942045","https://www.synapse.org/#!Synapse:syn51220215.1","a0f039ff20a7a6474d093677aa6a2f6a"
"syn39918409","Subject36.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","739231","3457238","1665761417681","3457238","1665761417681","syn39918098","https://www.synapse.org/#!Synapse:syn39918409.1","5e5d9f629463b3f2d11810098b4e4185"
"syn39918449","Subject39.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","744708","3457238","1665761426642","3457238","1665761426642","syn39918098","https://www.synapse.org/#!Synapse:syn39918449.1","10bc907bd3773f4e8d6b5eb571743c78"
"syn39918435","Subject38.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","755657","3457238","1665761423733","3457238","1665761423733","syn39918098","https://www.synapse.org/#!Synapse:syn39918435.1","a92a5da86d6b0e6c5ec9d34dfc1bad20"
"syn39918390","Subject33.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","841410","3457238","1665761412035","3457238","1665761412035","syn39918098","https://www.synapse.org/#!Synapse:syn39918390.1","bb77cca3fc73a2321e95b6c3e3242bb1"
"syn39918372","Subject30.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","980797","3457238","1665761406768","3457238","1665761406768","syn39918098","https://www.synapse.org/#!Synapse:syn39918372.1","a6cafd82cf46834b822f90f7c8f4f68d"
"syn39918381","Subject31.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","1031669","3457238","1665761409786","3457238","1665761409786","syn39918098","https://www.synapse.org/#!Synapse:syn39918381.1","6a030f3f365002c2fe0ad8da8273b7e1"
"syn39918359","Subject29.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","1036946","3457238","1665761402052","3457238","1665761402052","syn39918098","https://www.synapse.org/#!Synapse:syn39918359.1","a9810f06cb7d0db981911a072183d4cf"
"syn39918347","Subject27.xlsx","1","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","1084397","3457238","1665761397024","3457238","1665761397024","syn39918098","https://www.synapse.org/#!Synapse:syn39918347.1","d183e4b491a768b3f07ad103f5bc2010"
